Entity,Code,Year,Forest cover
Afghanistan,AFG,2020,1.8509940875532276
Albania,ALB,2020,28.791970802919707
Algeria,DZA,2020,0.818308959706366
American Samoa,ASM,2020,85.64999999999999
Andorra,AND,2020,34.04255319148936
Angola,AGO,2020,53.42695115103875
Anguilla,AIA,2020,61.11111111111112
Antigua and Barbuda,ATG,2020,18.454545454545453
Argentina,ARG,2020,10.440714878192267
Armenia,ARM,2020,11.537407797681771
Aruba,ABW,2020,2.333333333333333
Australia,AUS,2020,17.42131455716444
Austria,AUT,2020,47.25096946194862
Azerbaijan,AZE,2020,13.691539038494108
Bahamas,BHS,2020,50.935064935064936
Bahrain,BHR,2020,0.8974358974358974
Bangladesh,BGD,2020,14.468771606360914
Barbados,BRB,2020,14.651162790697676
Belarus,BLR,2020,43.192275481550816
Belgium,BEL,2020,22.764200792602377
Belize,BLZ,2020,55.986409469530905
Benin,BEN,2020,27.80374246186591
Bermuda,BMU,2020,18.51851851851852
Bhutan,BTN,2020,71.44190436241611
Bolivia,BOL,2020,46.92491461275732
Bosnia and Herzegovina,BIH,2020,42.7326171875
Botswana,BWA,2020,26.917050447302948
Brazil,BRA,2020,59.41747805133678
British Virgin Islands,VGB,2020,24.133333333333333
Brunei,BRN,2020,72.10626185958255
Bulgaria,BGR,2020,35.86035372144436
Burkina Faso,BFA,2020,22.720760233918128
Burundi,BDI,2020,10.889408099688474
Cambodia,KHM,2020,45.70796510310446
Cameroon,CMR,2020,43.02951069365996
Canada,CAN,2020,38.69551250949464
Cape Verde,CPV,2020,11.344913151364764
Cayman Islands,CYM,2020,53.0
Central African Republic,CAF,2020,35.80050723939773
Chad,TCD,2020,3.425190597204574
Chile,CHL,2020,24.49215366655369
China,CHN,2020,23.43132290394016
Colombia,COL,2020,53.30501126633619
Comoros,COM,2020,17.68941429339065
Congo,COG,2020,64.26354319180088
Cook Islands,COK,2020,64.95833333333333
Costa Rica,CRI,2020,59.4373286329808
Croatia,HRV,2020,34.265948047358194
Cuba,CUB,2020,31.233140655105974
Cyprus,CYP,2020,18.672077922077925
Czechia,CZE,2020,34.67284030565989
Democratic Republic of Congo,COD,2020,55.647312586841934
Denmark,DNK,2020,15.711000000000002
Djibouti,DJI,2020,0.2502157031924072
Dominica,DMA,2020,63.82666666666667
Dominican Republic,DOM,2020,44.38211550403643
East Timor,TLS,2020,61.94351042367183
Ecuador,ECU,2020,50.32142857142857
Egypt,EGY,2020,0.0451855944547692
El Salvador,SLV,2020,28.17953667953668
Equatorial Guinea,GNQ,2020,87.28770053475937
Eritrea,ERI,2020,10.448118811881187
Estonia,EST,2020,56.09385783298827
Eswatini,SWZ,2020,28.92790697674419
Ethiopia,ETH,2020,15.114497746453049
Falkland Islands,FLK,2020,0.0
Faroe Islands,FRO,2020,0.0573065902578796
Fiji,FJI,2020,62.39846743295019
Finland,FIN,2020,73.73321926822848
France,FRA,2020,31.50904837304609
French Polynesia,PYF,2020,40.83606557377049
Gabon,GAB,2020,91.32068149183064
Gambia,GMB,2020,23.979249011857707
Georgia,GEO,2020,40.61591595913081
Germany,DEU,2020,32.684546469359134
Ghana,GHA,2020,35.09585127889602
Gibraltar,GIB,2020,0.0
Greece,GRC,2020,30.2699767261443
Greenland,GRL,2020,0.0005359970763795
Grenada,GRD,2020,52.05882352941176
Guadeloupe,GLP,2020,44.39506172839506
Guam,GUM,2020,51.85185185185185
Guatemala,GTM,2020,32.920865994774175
Guinea,GIN,2020,25.18720494872213
Guinea-Bissau,GNB,2020,70.41287339971551
Guyana,GUY,2020,93.5501143002286
Haiti,HTI,2020,12.601596516690858
Honduras,HND,2020,56.83492716060417
Hungary,HUN,2020,22.49627438088977
Iceland,ISL,2020,0.5122194513715711
India,IND,2020,24.27022827333605
Indonesia,IDN,2020,49.07178036547167
Iran,IRN,2020,6.601261082050149
Iraq,IRQ,2020,1.9003611837983263
Ireland,IRL,2020,11.351720133546232
Isle of Man,IMN,2020,6.070175438596491
Israel,ISR,2020,6.469500924214418
Italy,ITA,2020,32.52237029985721
Jamaica,JAM,2020,55.11449676823638
Japan,JPN,2020,68.40877914951989
Jordan,JOR,2020,1.0982203198918676
Kazakhstan,KAZ,2020,1.2796532948105344
Kenya,KEN,2020,6.3448184980848295
Kiribati,KIR,2020,1.4567901234567902
Kuwait,KWT,2020,0.3507295173961841
Kyrgyzstan,KGZ,2020,6.858081334723671
Laos,LAO,2020,71.90424610051993
Latvia,LVA,2020,54.91531154403477
Lebanon,LBN,2020,14.010752688172042
Lesotho,LSO,2020,1.1370223978919631
Liberia,LBR,2020,79.08471760797342
Libya,LBY,2020,0.1233276879184332
Liechtenstein,LIE,2020,41.875
Lithuania,LTU,2020,35.13673153366006
Luxembourg,LUX,2020,36.50205761316872
Madagascar,MDG,2020,21.36440357511172
Malawi,MWI,2020,23.777047093763255
Malaysia,MYS,2020,58.176959366915234
Maldives,MDV,2020,2.733333333333333
Mali,MLI,2020,10.896663634352027
Malta,MLT,2020,1.4375
Marshall Islands,MHL,2020,52.22222222222223
Martinique,MTQ,2020,49.33018867924528
Mauritania,MRT,2020,0.3034830697584166
Mauritius,MUS,2020,19.098522167487687
Mayotte,MYT,2020,37.13903743315508
Mexico,MEX,2020,33.79309138609532
Moldova,MDA,2020,11.751292186074796
Monaco,MCO,2020,0.0
Mongolia,MNG,2020,9.10112753502091
Montenegro,MNE,2020,61.486988847583646
Montserrat,MSR,2020,25.0
Morocco,MAR,2020,12.866883262379565
Mozambique,MOZ,2020,46.72519646990005
Myanmar,MMR,2020,43.72599151335039
Namibia,NAM,2020,8.063865709531271
Nauru,NRU,2020,0.0
Nepal,NPL,2020,41.59072200906871
Netherlands,NLD,2020,10.974160974160974
New Caledonia,NCL,2020,45.84354485776805
New Zealand,NZL,2020,37.57012646690213
Nicaragua,NIC,2020,28.31585507728104
Niger,NER,2020,0.8523723059919476
Nigeria,NGA,2020,23.74578653227489
Niue,NIU,2020,72.57692307692308
Norfolk Island,NFK,2020,12.25
North Korea,PRK,2020,50.07964454779504
North Macedonia,MKD,2020,39.7101506740682
Northern Mariana Islands,MNP,2020,52.95652173913044
Norway,NOR,2020,33.358625269689966
Oman,OMN,2020,0.0080775444264943
Pakistan,PAK,2020,4.833307388958074
Palau,PLW,2020,90.02173913043478
Palestine,PSE,2020,1.684385382059801
Panama,PAN,2020,56.85159201295197
Papua New Guinea,PNG,2020,79.17625756304378
Paraguay,PRY,2020,40.52922225018877
Peru,PER,2020,56.5081015625
Philippines,PHL,2020,24.109031760405134
Pitcairn,PCN,2020,74.46808510638297
Poland,POL,2020,30.970965740226656
Portugal,PRT,2020,36.15499489114203
Puerto Rico,PRI,2020,55.956031567080046
Qatar,QAT,2020,0.0
Romania,ROU,2020,30.115829276773297
Russia,RUS,2020,49.784336078872215
Rwanda,RWA,2020,11.187677340899878
Saint Helena,SHN,2020,5.128205128205128
Saint Kitts and Nevis,KNA,2020,42.30769230769231
Saint Lucia,LCA,2020,34.04918032786885
Saint Pierre and Miquelon,SPM,2020,5.304347826086957
Saint Vincent and the Grenadines,VCT,2020,73.17948717948718
Samoa,WSM,2020,57.12720848056536
San Marino,SMR,2020,16.666666666666664
Sao Tome and Principe,STP,2020,54.0625
Saudi Arabia,SAU,2020,0.4544841349217794
Senegal,SEN,2020,41.90598867708928
Serbia,SRB,2020,31.13023096272582
Seychelles,SYC,2020,73.2608695652174
Sierra Leone,SLE,2020,35.11886949293434
Singapore,SGP,2020,21.960507757404795
Sint Maarten (Dutch part),SXM,2020,10.882352941176473
Slovakia,SVK,2020,40.056156405990016
Slovenia,SVN,2020,61.4670698824616
Solomon Islands,SLB,2020,90.13826366559483
Somalia,SOM,2020,9.532311027512993
South Africa,ZAF,2020,14.055090718743044
South Korea,KOR,2020,64.47543841657266
South Sudan,SSD,2020,11.325369168740371
Spain,ESP,2020,37.17799724090219
Sri Lanka,LKA,2020,34.139886578449904
Sudan,SDN,2020,9.92816529752172
Suriname,SUR,2020,97.4121153846154
Sweden,SWE,2020,68.69460607399769
Switzerland,CHE,2020,32.11633354868898
Syria,SYR,2020,2.843108424549366
Tajikistan,TJK,2020,3.053534116290799
Tanzania,TZA,2020,51.64258297584104
Thailand,THA,2020,38.89878447415295
Togo,TGO,2020,22.23331494760066
Tokelau,TKL,2020,0.0
Tonga,TON,2020,12.430555555555554
Trinidad and Tobago,TTO,2020,44.48148148148148
Tunisia,TUN,2020,4.523236354273945
Turkey,TUR,2020,28.87148369995972
Turkmenistan,TKM,2020,8.782159044964144
Turks and Caicos Islands,TCA,2020,11.073684210526316
Tuvalu,TUV,2020,33.33333333333333
Uganda,UGA,2020,11.659186116098146
Ukraine,UKR,2020,16.727084412221647
United Arab Emirates,ARE,2020,4.467755561813574
United Kingdom,GBR,2020,13.185632207663373
United States,USA,2020,33.86692641203749
United States Virgin Islands,VIR,2020,56.885714285714286
Uruguay,URY,2020,11.604388069934863
Uzbekistan,UZB,2020,8.374418673269979
Vanuatu,VUT,2020,36.28383921246924
Vatican,VAT,2020,0.0
Venezuela,VEN,2020,52.41301513519642
Vietnam,VNM,2020,47.22511045892863
Western Sahara,ESH,2020,2.500263157894737
Yemen,YEM,2020,1.03983180862549
Zambia,ZMB,2020,60.28333714470197
Zimbabwe,ZWE,2020,45.09391236913533
